arquivo,os,cliente,tecnico,tipo_operacional,cobertura,descricao_produto,contrato_ativo_inativo,ordem_compra,alerta_faturamento,alerta_codigo,alerta_laudo,alerta_contrato,alerta_total
C:\Painel_Operacional_Corrigido\data\import\campinas\pdfs\V69246.pdf,V69246,IOCHPE MAXION S.A.,LEANDRO TIAGO,Corretiva/Chamado,Avulso,RELOGIO REP-C SMART PRINT WIFI BIO ID 3000USR PX MIFARE,Inativo,"( ) Nao (X)Sim , Alguma o bservacao? Precisamo s que seja enviado o valor",1,0,1,0,2
C:\Painel_Operacional_Corrigido\data\import\campinas\pdfs\V69247.pdf,V69247,IOCHPE MAXION S.A.,LEANDRO TIAGO,Corretiva/Chamado,Avulso,RELOGIO SMART PRINT WIFI BIO ID 3000USR PX MIFARE,Inativo,"( ) Nao (X)Sim , Alguma o bservacao? Precisamo s que seja enviado o valor",1,0,1,0,2
C:\Painel_Operacional_Corrigido\data\import\campinas\pdfs\V69248.pdf,V69248,IOCHPE MAXION S.A.,LEANDRO TIAGO,Corretiva/Chamado,Avulso,RELOGIO SMART PRINT WIFI BIO ID 3000USR PX MIFARE,Inativo,"( ) Nao (X)Sim , Alguma o bservacao? Precisamo s que seja enviado o valor",1,0,1,0,2
C:\Painel_Operacional_Corrigido\data\import\campinas\pdfs\V69250.pdf,V69250,IOCHPE MAXION S.A.,LEANDRO TIAGO,Corretiva/Chamado,Avulso,RELOGIO SMART PRINT WIFI BIO ID 3000USR PX MIFARE,Inativo,"( ) Nao (X)Sim , Alguma o bservacao? Precisamo s que seja enviado o valor",1,0,1,0,2
C:\Painel_Operacional_Corrigido\data\import\campinas\pdfs\V69244.pdf,V69244,INDUSPARQUET INDUSTRIA E COMERCIO DE MADEIRAS LTDA,BRUNO DE ARAUJO MARTUCCI,Corretiva/Chamado,Avulso,CATRACA NEW BAP BR RET PX 125KHZ,Inativo,Nao Alguma,1,0,1,0,2
C:\Painel_Operacional_Corrigido\data\import\campinas\pdfs\V69245.pdf,V69245,INDUSTRIAS PGG - TECNOLOGIA EM ARAMES E CABOS ESPECIAIS LTDA,BRUNO DE ARAUJO MARTUCCI,Corretiva/Chamado,Avulso,8796-PRINTP.III BARRAS BIO SG 1000TPL 1P,Inativo,Nao Alguma,1,0,1,0,2
C:\Users\paulo.aguiar\Downloads\V68660.pdf,V68660,UNIMED DE SOROCABA COOPERATIVA DE TRABALHO MEDICO,BRUNO DE ARAUJO MARTUCCI,Corretiva/Chamado,Avulso,RELOGIO SMART PRINT WIFI BIO ID 500USR,Inativo,"( X )Nao ( )Sim, Alguma observacao? DATA LIMITE PARA",1,0,0,0,1
C:\Users\paulo.aguiar\Downloads\v68818.pdf,,,,Outro,Avulso,,,"sim Endereco: AV PROFESSOR ADIB CHAIB,",0,1,1,0,2
C:\Users\paulo.aguiar\Downloads\V68602.pdf,V68602,UNIMED AMPARO COOPERATIVA DE TRABALHO MEDICO,TALLES HENRIQUE DO NASCIMENTO,Corretiva/Chamado,Avulso,RELOGIO REP-C SMART PRINT BIO ID 500USR,Inativo,(,1,0,0,0,1
C:\Users\paulo.aguiar\Downloads\V68662.pdf,V68662,UNIMED AMPARO COOPERATIVA DE TRABALHO MEDICO,ISRAEL OSVALDO INACIO,Corretiva/Chamado,Garantia,RELOGIO REP-C SMART PRINT BIO ID 500USR,Inativo,(,1,0,0,0,1
C:\Users\paulo.aguiar\Downloads\V68652.pdf,V68652,CIE AUTOMETAL SALTO INDUSTRIA E COMERCIO LTDA.,VALMIR ALVES RIBEIRO,Instalacao,Avulso,CATRACA MDC 5906 V2 BIO ID 5000USR PX 125KHZ,Inativo,,1,0,0,0,1
C:\Users\paulo.aguiar\Downloads\v68464.pdf,V68464,BENTELER COMPONENTES AUTOMOTIVOS LTDA,ISRAEL OSVALDO INACIO,Corretiva/Chamado,Avulso,"CANCELA ACTIVE LE BR. RET 4,0M BIV. LED",Inativo,,1,0,1,0,2
C:\Users\paulo.aguiar\Downloads\V68690.pdf,V68690,GRUPO DE PESQUISA E ASSISTENCIA AO CANCER INFANTIL,BRUNO DE ARAUJO MARTUCCI,Instalacao,Garantia,CONTROLADOR FACE ACCESS ULTRA,Inativo,,1,0,1,0,2
C:\Users\paulo.aguiar\Desktop\v68864.pdf,,233712Loja: 01Nome: SILCON MATERIAIS ELETRICOS E HIDRAULICOS LTDA,,Outro,Avulso,,,,0,1,1,0,2
C:\Users\paulo.aguiar\Downloads\V68650.pdf,V68650,UNIMED DE SANTA BARBARA DOESTE AMERICANA COOP TRAB MED,LEANDRO TIAGO,Instalacao,Avulso,CONTROLADOR FACE ACCESS ULTRA,Inativo,,1,0,0,0,1
C:\Users\paulo.aguiar\Downloads\V68656.pdf,V68656,BENTELER COMPONENTES AUTOMOTIVOS LTDA,LEANDRO TIAGO,Instalacao,Garantia,CONTROLADOR FACE ACCESS SE PX 125KHZ,Inativo,,1,0,0,0,1
C:\Users\paulo.aguiar\Downloads\V68201.pdf,V68201,BENTELER COMPONENTES AUTOMOTIVOS LTDA,RONALDO ZULIANI DOS SANTOS,Corretiva/Chamado,Garantia,CATRACA NEW BAP BR RET PX HID (WIEGANG),Inativo,"( )Nao ( x )Sim, Alguma observacao?",1,0,0,0,1
C:\Users\paulo.aguiar\Downloads\V68316.pdf,V68316,BENTELER COMPONENTES AUTOMOTIVOS LTDA,RONALDO ZULIANI DOS SANTOS,Corretiva/Chamado,Avulso,"CANCELA ACTIVE LE BR. RET 3,0M BIV. LED",Inativo,,1,0,0,0,1
C:\Users\paulo.aguiar\Downloads\V68402.pdf,V68402,DENSO DO BRASIL LTDA,VALMIR ALVES RIBEIRO,Corretiva/Chamado,Avulso,CATRACA MDC 7703 BR RET PX 125KHZ URNA,Inativo,"( X )Nao ( ) Sim, Algum a observac ao? DATA LIMIT E PARA FAT URAMENTO: E-mail par a",1,0,0,0,1
C:\Users\paulo.aguiar\Downloads\V68560.pdf,V68560,FERNANDO MATHEUS DOS SANTOS - ME LOJA 3,ANDERSON ANGELO,Instalacao,Avulso,RELOGIO MD 5715P COMUNE V2 FACIAL 5000USR,Inativo,,1,0,0,0,1
